,Content,Polarity
2,marodriguezb graci mar,0
3,off pens regalit sind va sga van corrupt intent sac conclusion intent,1
4,conozc algui q adict dram ja ja ja suen d,0
6,toc crackoviadetv grabacion dl especial navideñomari crism,0
8,buen dia primer mand abraz grand miguel famili libertadmont hoy podr ser dia grandez human,0
9,escañ list empez #endiascomohoy congres {link},0
10,bdi em ira puent si vais dejeis llev tablet pc lueg orbyt moment dig,0
11,sistem econom q recort diner prestacion social refuerz billon medi d eur banc necesit repens,0
12,#programascambi cac d ajust,1
13,buen viern,0
14,“adri__ #programascambi tt graci carlos_latre” graci buen rat amig,0
17,univers conf call encar ret ambici {link},0
18,ayud #indultoneir tt si zapater quier algun sugerent ultim consej ministr {link},0
19,abcdesevill reci «indici potentes» denunci respons ere {link},1
20,abcdesevill cuatr altos carg emple denunci retir prejubil extrabaj {link},1
21,march atras pp pospon devolu cca resbalon deb asum fall ment dic conoc cuent,1
22,viern negr aument par noviembr disminu afili segur social trist #herenciapso,1
23,accident bus-va a- km motor años her men grav samur_pc trasl hospital doc octubr via emergenciasm,1
24,verdader seried comic niall binns retrat nicanor parr premi cervant {link},0
25,#ff des desesper hac #ff hac diran,1
26,#ff xa merpastor x volv sonreir gfvar x ser tan autent horas_rn x subidòn carmendelrieg x victori,0
27,agradezc trabaj sindicat desconvocatori huelg aeropuert compromet medi #sevillahoy,0
28,#ff rdscubrenav ser gran inici moment necesit record import verdader,0
31,terc actoacuerd banc central dar tiemp,0
32,conscient pid gran esfuerz famili castellanomancheg,1
33,eguigur gobiern negoci eta llev dos años denunci {link},1
34,aprob ley sind,1
36,¡¡much anim hoy armad ¡¡esper pod brind quint cop davis ¡¡¡much suert {link},0
37,blanc ministr portavoz funcion desacredit form rotund pte pse jesus eguigurenn sab habl ciert,1
38,desgraci par españ sig crec madr va mejor cotiz desempl men,1
40,#ff vuelt - pepem popularescyl anamariavielb marmarev ajimnezvelay jmoret dllanosg c_florian,0
41,gracios laic social met amazing grac anunci dgt si descuid pon pang lingu,1
45,encant ver aqui tudni -,0
46,si valenci españ recom exposicion {link},0
48,“martaceram maria_rey amigaaaaa” holaaa guapaaa,0
49,juez imput dos direct ciud artes cienci valenci cas urdangarin parec men,1
51,desemple ee uu baj nivel marz {link},0
54,gran reconoc da dat par objet interin telediarioint,1
55,corazon parti españ irland enfrent eurocop,1
56,transparent internacional españ ocup n ranking pdetras detras chipr emirat arab qatarurg ley transparent,1
57,rt fanclubm estas navidad regal solidaridad#positivegeneration cont {link},0
58,crisis ident rt loidalois evaoreg ¡¡¡tu español encim,1
59,teleton hac gran servici social voy apoy supuest rt karlagglez cont {link},0
60,cospedal deb ped perdon ment utiliz form demagog rebaj sueld funcionariosl ahor aplic pudor,1
61,asi gust monic “monirom pedroj_ramirez orden jef cualqu va discut ipad+orbyt+trabajo”,0
63,hac cinc mes pp comunic escrit interlocutor preferent iu ello permit gobern ahor pid consens,0
64,bienven brig anti-v region problem iu dej tir monag mes despues nombramient,1
65,gfvar ley embudocaracterist derech español anim,1
66,ciert llev maravill rt deyra_love_btr alejandrosanz ¬¬ qe cont {link},0
67,españ pon punt gan quint davissevill d nuev talismanmañanah giraldatv {link},0
68,buen españ punt gan ª cop davis felic equip,0
70,ssantiagosegur angyfdz flofdez borr amiguet abruz,0
71,nadaaa sabeis asi vec coincid mand cariñort cont {link},0
72,adios dia q casi culmin destap dl bienest q va qued despues d q gast casi,1
74,ris ilumin almas bañ tristez sonris tibi carici hel soledadwh patrick,0
75,deten carrer nucl iran deb ser priorid estrateg maxim occident,1
76,ver si entiend banc central europe pued prest gobi prest fmi q q si puedel hag europ,0
77,altos carg recel exhaust traspas poder asegur convert fiscaliz {link},1
78,buen dias buen eran/sig siend talking heads,0
79,ssantiagosegur jijijiji q sib mes dl jur verdader manol escob hac d lady marmalad jojijii,0
81,result preliminar egipt augur profund cambi consecuent regionalesfalt vot rural q atenu result,1
82,tranquil carreter segund dia puent constitu - {link},0
83,graci hospital - rt isabelatortlini bienven don aarbelo humild mor,0
84,espolon conmemor dia discapac {link},0
86,vandal arranc nuev lapiz picass {link},1
87,apoy verd diputacionmlg reduc impuest puebl {link},0
88,d agu fri despu dl entren mañan ahor com d past descans total noch q ser dificil,1
89,corr dewars“dewarsspain jordievol buenafuent julia_oter santi_mill graci jordi”,0
90,deten jef prestigi ong rus control electoral {link},0
91,program graci kimytwiter buenafuent buenafuent q dais tant risa”,1
92,articul esd testarudez consejer salud riojan pon sanz picot {link},1
95,sincer observ zon recre psiquiatr hcivil patet veo {link},1
96,fin muj amig repart iceberg nuev pelicul gabriel velazquezpor gabri pas años {link},0
97,diario_sur asi zon recre psiquiatr hospital civil patet person {link},1
98,reserv dond com deposit ahorr famili sol oblig trasparent public aunqu veo expert,1
100,bien sient si asil uedil bienven ayeresp aun salg adel,1
104,graci amig,0
108,precios verd - perdonam by pabl alboran from #soundhound {link},0
109,ataqu inyeccion sql masiv {link},1
111,mir sblanc arbol - {link},0
112,jej buen mkrey buenafuent hech llor risa”,0
113,rt nosesiaport vam chilen ultim esfuerz banc qued logr teleton necesit,0
114,duerm voy intent deb ser tan dificil,0
115,rt betolash ver pau cuant x jeep terren maestr #multiplicocomopaulinarubi ja ja ja buen,0
116,medi comun llen anunci oficial q recort gast public denunci,1
117,buen dias mil graci rt pvcmalag buen dia mariviromeromi concejal favorit,0
118,javierarenas_pp critic pepegrin pid marianorajoy reunion nieg alcald {link},1
120,krugm auster mat eur {link} via el_pais,1
121,sguein quien tap pso respuest blog {link} leid dos libr metafor,1
123,- rt cacmalag {link} cacmalag #art #cultur #pintur #muse #museums,0
124,rajoy quier españ vuelv ten relev europ {link},0
125,polit q respond ningun pais dl mund homolog nstro toler semej practic {link} via antonl,1
126,evaoreg antonl obvi cont declar q permit pregunt,1
127,pod falt dominguit tierr final davis cuña carlos_muel {link},0
128,palm sevillan anim raf #sevillaciudadtalism #copadavis,0
131,'chic & rita' premi europe mejor cint anim {link},0
132,vam equip vam nadal tod españ man mejor contig vam ser campeon elorri,0
133,passing escalofri line pon nadal tercerol ensalader mas cerca#vamosraf #copadavis ole rafaelnadal,0
135,dic q rey cartuj hoy dia q tve q sac ratohac patri ser imparcial,0
137,“beagarciachv edurnity segund apell camell ver rey magos”t doy cart dasjajj bss,0
138,“marinitamf edurnity ojo apell mol tal broma” seri mol jajjaj,0
139,viaj embaj catalan derroch - abces {link} via abc_es,1
140,set gan public argentin potr tir toall comenz cant van gan raf pued #vamosraf,0
141,“ryankuletz cre edurnity puest respond tweets apell iphon #cosasquenuncaentender ”jaajjajajj,0
142,amonest public argentin cartuj,1
143,raf salud equip argentin tall campeon,0
144,quint ensalader nadal salud equip argentin ahor public oe oe oe,0
145,aqu lleg fin quint ensalader graci miembr equip hoy much gent dorm feliz,0
146,grand abraz nadal equip argentin impresion sab gan campeon,0
147,grandios raf nadal,0
148,public cant grit par quier dar raf corazon sig tod part ¡graci ser español,0
152,felic rafaelnadal equip español cop davis ejempl esfuerz ilusion super rbcb,0
155,fantast mejor “marisolcovel parec fot #elprimernaufragi {link} {link},0
156,fin impun #internet {link},0
157,parec dign ministr italian trabaj llor parec ris berlusconi,1
159,blog lagrim tecnocrat {link},1
160,ministr d marianorajoy fin ineptocraci semanaldigital ppopul {link},1
161,port public mañan urdangarin sa dentr list entidad pag noos {link},1
162,crackoviadetv buen dias quer twiter,0
163,graci venezuel {link},0
164,bdi elisabeth orgull em localiz remot lug rumani testig acud juici,0
165,com explic mil español ausent mas trabaj puent mientr españ millon par,1
166,mas president autonom autogobiern graci constitucionper cumpl hac cumpl #fueradelaley,1
167,accident rt santigonzalez lleg {link},1
169,dani garc recog libr tap acerc cocin socied {link},0
171,gobiern chin cre pais prepar protest social - {link},1
174,upyd amaiur recurrir justici si logr grup justici dio pod mes congres cas simil,1
177,mientr verdader problem agrav año tras año {link},1
179,bonit desplieg segur alfons xii contravigil tod manzan nadi gobiern,0
180,desafi period encontr siti perd vigil pod via clarin_com {link},0
181,ppandaluz acept caramel president dos años famp si refund {link} europapress_,1
182,rarit q si españ trat eleg años caos miseri {link},1
183,rt perezhilton paurubi trist pau {link} jonahmowryreal &lt {link},1
184,jooooo - rt xavicond dic tonicant quier rap estrof villanc sient toni aqu padrinomc,0
187,detien dos sospech secuestr cooper español tinduf intent vend aqmi {link} v plazar,1
190,tod “juliosandreu sr grab salud lad jej españ buen tarde”,0
192,entiend unfollow acept desconciert reconoc error cre lug anunci venganz radiofon,0
193,- rt carlosserrat #fw mariviromer much suert primer entrev aqu hastag #ynterviumarivi,0
194,españ gast mas sanid tof presupuest sanid nuñez feijo gato_direct,1
195,primer entrev direct twitt si quier segu busc hastag #ynterviumarivi l {link},0
196,feliz dia voluntari hëro anon sacrifici eleccion propi graci,0
197,graci rt pepem #ynterviumarivi interes entrev mariviromer nuev herramient nuev form comunic,0
198,graci pac rt pacorengel #ynterviumarivi mariviromer muchisim graci bes cuelg ratit {link},0
199,aunqu menor med much madr ejoan supermujer gran post virginiapalons {link},0
200,vez q habl protector franco-aleman europ veloc hech ahor falt ver dond qued españ,1
201,impresion enhorabuen enpiedeguerr bes chiquiesteb percebeir dav beriain goy {link},0
202,sorgiñ culebr cabron negr barb larg,1
203,enough today seman larg segur apasion recomend,0
204,voy leer rat 'un dia vida' ryszard #kapuscinscki gran descubr reporter polac {link},0
206,despeg yaqu lind pais lind gent --shak,0
208,bon celebr ultim fiest congres pregunt si viv españ juanraluc rne arranc,0
209,trist rt joseplluiscerr rt skalistra pap catalan fach barcelon cataluñ {link},1
210,extorsion mafios carl garc - {link} via larazon_,1
211,se sorprend pp present presupuest tard negoci carg univers recort derech,1
212,plante rajoy sub iva {link},1
213,¡constitu constitu ¡cuant viaj com gratis dad nombr feliz dia,1
215,buen dias party tim,0
217,hoy dia constitu acuerd cad dia millon person baj umbral pobrez #vivalaconstitucion,1
218,monti dic cobr prim ministr demagogi popul hac trag ricin recort aristocraci financ,1
221,chacon conf democraci intern part dia constitu #congres,0
222,marianorajoy #congres primer ley desarroll reform constitu xra garantiz estabil presupuestari dir #zp n brusel,0
224,empiez acto homenaj constitu proxim president gobiern #vivalaconstitucion {link},0
225,bon zp dad mejor españ moment dificil rajoy dese aciert decision x bien,0
226,gallardon habl amig zapater guerr alons pepiñ recib cariñ period amig,0
228,enchuf vay zp {link},1
229,rajoy romp silenci fiest congres plag ausent {link},1
231,institu deb hac dl dia d l constitu fiest civic d todosdestac valor democrat acto polit,0
232,algun ca cataluñ siqu acto institucional dia hoyn interes record #laconstitucionquenosun,1
234,agrad coincid amig mechor denunci tecnic mafi euskadi,0
235,dios tan real da mied ¡anim mamas trabaj pod supermujer {link},0
237,yagriñan ve impos ser imput cas ere {link},1
238,graci segu rodolfoteson -,0
241,ahi va editorial rt favor cã³mo pas -m impostor testig carg {link},1
243,ver aclar entrad aqu actor esper #terratpack {link},0
244,muse cuev nerj abre prevision visit año {link},0
246,“lhermoso_ period sid asesin ultim año hondur {link},1
